Product Name,Product Category,Product Price,Product Price (INR),Quantity
Organic Tattva Cinnamon Stick,Organic Products,$2.84,154.07,50g
24 Mantra Organic Moong Dal,Organic Products,$9.45,512.66,1kg
24 Mantra Organic Himalaya Pink Salt,Organic Products,$6.28,340.69,1kg
Organic Tattva Mustard Seed Black,Organic Products,$2.55,138.34,200g
24 Mantra Organic Rice Flour Fine,Organic Products,$4.46,241.96,1kg
24 Mantra Organic Urad White Split Dal,Organic Products,$9.43,511.58,1kg
Organic Tattva Organic Mustard Oil 1 Litre,Organic Products,$11.24,609.77,1g
24 Mantra Organic Mustard Oil,Organic Products,$14.92,809.41,1Ltr
24 Mantra Organic Masoor Dal,Organic Products,$8.49,460.58,1kg
24 Mantra Organic Mixed Dal (​Pancharatan Dal),Organic Products,$5.77,313.02,500g
24 Mantra Organic Roasted Bengal Gram,Organic Products,$6.58,356.96,500g
24 Mantra Organic Besan Flour Fine,Organic Products,$8.38,454.62,1kg
Organic Tattva Foxtail Millet,Organic Products,$5.62,304.88,500g
Organic Tattva Amla Powder,Organic Products,$3.74,202.9,100g
24 Mantra Organic Sattu Flour,Organic Products,$9.10,493.67,1kg
24 Mantra Organic Ginger Powder,Organic Products,$3.64,197.47,100g
Organic Tattva Poha Medium,Organic Products,$3.15,170.89,500g
24 Mantra Organic Chana Dal,Organic Products,$9.03,489.88,1kg
24 Mantra Organic Himalaya Rock Salt,Organic Products,$5.23,283.73,1kg
Organic Tattva Organic Red Chilli Powder,Organic Products,$1.95,105.79,100g
24 Mantra Organic Idly Rava,Organic Products,$4.51,244.67,1kg
24 Mantra Organic Idly Rice,Organic Products,$21.50,1166.38,5kg
24 Mantra Organic Coriander Powder,Organic Products,$3.74,202.9,200g
24 Mantra Organic Gluten Free Multi Grain Atta,Organic Products,$26.18,1420.26,4kg
Down To Earth Organic Multigrain Flour,Organic Products,$4.77,258.77,908g
Organic Tattva Makki Flour,Organic Products,$2.40,130.2,500g
24 Mantra Organic Ground Nut (​Peanut) Oil,Organic Products,$14.92,809.41,1L
Organic India Tulsi Holy Basil Herbal Supplement Infusion Bags - Lemon Ginger 25 pk,Organic Products,$7.14,387.34,25g
Organic Tattva Organic Chana Masala,Organic Products,$3.82,207.24,100g
24 Mantra Organic Bajra Flour,Organic Products,$9.18,498.02,1kg
24 Mantra Organic Cinamon Powder,Organic Products,$3.49,189.33,100g
Classic Organic Tattva Cumin & Coriander Powder,Organic Products,$1.95,105.79,100g
Organic Tattva Organic Rajma Masala,Organic Products,$3.82,207.24,100g
24 Mantra Organic Sambar Powder 283.​,Organic Products,$7.81,423.69,5g
Organic Tattva Organic Pav Bhaji Masala,Organic Products,$3.82,207.24,100g
24 Mantra Organic Sunflower Oil,Organic Products,$12.73,690.6,1ltr
Organic Tattva Organic Coriander Powder,Organic Products,$2.08,112.84,100g
Root2Leaf Organic Indigo Powder,Organic Products,$9.09,493.13,100g
Root2Leaf Organic Multani Mitti Face Pack,Organic Products,$7.09,384.63,100g
Root2Leaf Organic Turmeric Powder,Organic Products,$5.81,315.19,250g
Classic Organic Clove Whole,Organic Products,$3.57,193.67,50g
Down To Earth Organic Chutney - Garlic,Organic Products,$3.81,206.69,200g
Organic India Tea - Tulsi Original - 25 Tea Bags,Organic Products,$7.14,387.34,45g
Organic Tattva Organic Tandoori Masala,Organic Products,$3.82,207.24,100g
Root2Leaf Organic Neem Leaves Powder,Organic Products,$10.84,588.07,100g
Down To Earth Organic Himalyan Crystal Pink Salt,Organic Products,$5.89,319.53,1kg
Organic India Tea - Tulsi Sweet Rose - 25 Tea Bags,Organic Products,$7.14,387.34,40g
24 Mantra Organic Chole Masala,Organic Products,$4.20,227.85,100g
Coriander,Fruits & Vegetables,$1.99,107.96,1 Bunch
Ginger minimum,Fruits & Vegetables,"$2.13

100g
(approx.)


$21.33 per kg",115.55,100g
Methi Leaves,Fruits & Vegetables,$2.17,117.72,1 Bunch
Green Chilli Hot Small minimum,Fruits & Vegetables,"$2.67

100g
(approx.)


$26.67 per kg",144.85,100g
Tomato minimum,Fruits & Vegetables,"$2.36

500g
(approx.)


$4.71 per kg",128.03,500g
Long Melon minimum,Fruits & Vegetables,"$5.51

900g
(approx.)


$6.12 per kg",298.92,900g
Mint,Fruits & Vegetables,$0.95,51.54,1 Bunch
Capsicum Green Each minimum,Fruits & Vegetables,"$1.07

200g
(approx.)


$5.36 per kg",58.05,200g
Cucumber minimum,Fruits & Vegetables,"$0.86

300g
(approx.)


$2.86 per kg",46.66,300g
Okra (​Bhindi ) Whole minimum,Fruits & Vegetables,"$5.48

500g
(approx.)


$10.97 per kg",297.29,500g
Bitter Melon (​Karela) minimum,Fruits & Vegetables,"$2.50

500g
(approx.)


$5.00 per kg",135.62,500g
Garlic Dry Each,Fruits & Vegetables,$3.20,173.6,500g
Egg Plant Big minimum,Fruits & Vegetables,"$1.70

320g
(approx.)


$5.31 per kg",92.22,320g
Beet Root minimum,Fruits & Vegetables,"$1.86

500g
(approx.)


$3.71 per kg",100.9,500g
Banana Cooking minimum,Fruits & Vegetables,"$2.20

.500g
(approx.)


$4.40 per kg",119.35,500g
Tindora Fresh minimum,Fruits & Vegetables,"$5.00

500g
(approx.)


$10.00 per kg",271.25,500g
Egg Plant Small Purple minimum,Fruits & Vegetables,"$3.06

500g
(approx.)


$6.12 per kg",166.0,500g
Coriander 5,Fruits & Vegetables,$8.49,460.58,6 Bunch
Onion Red Spanish minimum,Fruits & Vegetables,"$2.86

1kg
(approx.)


$2.86 per kg",155.16,1kg
Lime minimum,Fruits & Vegetables,"$1.07

300g
(approx.)


$3.57 per kg",58.05,300g
Onion Red Spanish,Fruits & Vegetables,$11.76,637.98,5kg
Potato Wash minimum,Fruits & Vegetables,"$2.00

1kg
(approx.)


$2.00 per kg",108.5,1kg
Green Beans minimum,Fruits & Vegetables,"$5.72

500g
(approx.)


$11.43 per kg",310.31,500g
Onion Brown,Fruits & Vegetables,$7.06,383.0,5kg
Carrots Pre Packed,Fruits & Vegetables,$1.71,92.77,1kg
